Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,24800.000000,24950.000000,24650.000000,24800.000000,22111.269531,63883
2015-01-05,24800.000000,24800.000000,24250.000000,24650.000000,21977.533203,66735
2015-01-06,24350.000000,24600.000000,23900.000000,23950.000000,21353.423828,112508
2015-01-07,24050.000000,24200.000000,23800.000000,24000.000000,21398.003906,49708
2015-01-08,24000.000000,24150.000000,23750.000000,23750.000000,21175.105469,97544
2015-01-09,23900.000000,24200.000000,23850.000000,24050.000000,21442.580078,125633
2015-01-12,24050.000000,24400.000000,24050.000000,24250.000000,21620.896484,48860
2015-01-13,24200.000000,24350.000000,24100.000000,24350.000000,21710.054688,68849
2015-01-14,24200.000000,24350.000000,23850.000000,23900.000000,21308.843750,153474
2015-01-15,23750.000000,23850.000000,23400.000000,23500.000000,20952.210938,188859
2015-01-16,23750.000000,23750.000000,23250.000000,23500.000000,20952.210938,81928
2015-01-19,23650.000000,24600.000000,23650.000000,24500.000000,21843.794922,183256
2015-01-20,24550.000000,24550.000000,24100.000000,24450.000000,21799.214844,59790
2015-01-21,24600.000000,24600.000000,24000.000000,24200.000000,21576.318359,79205
2015-01-22,24400.000000,25100.000000,24250.000000,24800.000000,22111.269531,204194
2015-01-23,25200.000000,25300.000000,24250.000000,24500.000000,21843.794922,230023
2015-01-26,24350.000000,24350.000000,24000.000000,24150.000000,21531.740234,78469
2015-01-27,24000.000000,24450.000000,23900.000000,24350.000000,21710.054688,152469
2015-01-28,24200.000000,24450.000000,24100.000000,24400.000000,21754.636719,123896
2015-01-29,24250.000000,24550.000000,23950.000000,24450.000000,21799.214844,174546
2015-01-30,24500.000000,24550.000000,22650.000000,22750.000000,20283.523438,668405
2015-02-02,22950.000000,23500.000000,22750.000000,22850.000000,20372.679688,264362
2015-02-03,23000.000000,23050.000000,22400.000000,22500.000000,20060.626953,323829
2015-02-04,22900.000000,23300.000000,22850.000000,23100.000000,20595.576172,331662
2015-02-05,23250.000000,23400.000000,22850.000000,22850.000000,20372.679688,148034
2015-02-06,23000.000000,23200.000000,22750.000000,22800.000000,20328.101563,117765
2015-02-09,22900.000000,22950.000000,22650.000000,22750.000000,20283.523438,112437
2015-02-10,22750.000000,23150.000000,22700.000000,22950.000000,20461.841797,140903
2015-02-11,23000.000000,23100.000000,22800.000000,22950.000000,20461.841797,125225
2015-02-12,22850.000000,23050.000000,22550.000000,22550.000000,20105.207031,181981
2015-02-13,22700.000000,22900.000000,22550.000000,22700.000000,20238.941406,101915
2015-02-16,22750.000000,23300.000000,22750.000000,23000.000000,20506.417969,151419
2015-02-17,23100.000000,23250.000000,22800.000000,22950.000000,20461.841797,155072
2015-02-23,23150.000000,23400.000000,23100.000000,23350.000000,20818.472656,158947
2015-02-24,23300.000000,23650.000000,23200.000000,23400.000000,20863.050781,143065
2015-02-25,23750.000000,24700.000000,23600.000000,24700.000000,22022.109375,518402
2015-02-26,24700.000000,25900.000000,24300.000000,25850.000000,23047.433594,636409
2015-02-27,25450.000000,25900.000000,25400.000000,25650.000000,22869.117188,304502
2015-03-02,25600.000000,26100.000000,25250.000000,25550.000000,22779.957031,310819
2015-03-03,25400.000000,26000.000000,25200.000000,25800.000000,23002.849609,354299
2015-03-04,25500.000000,25850.000000,25500.000000,25550.000000,22779.957031,123596
2015-03-05,25450.000000,25850.000000,25350.000000,25800.000000,23002.849609,180137
2015-03-06,25650.000000,26150.000000,25550.000000,25850.000000,23047.433594,234578
2015-03-09,25650.000000,25750.000000,24800.000000,25000.000000,22289.587891,356360
